Sex Determination,heterogametic lifespan,homogametic lifespan,lnRRlifespan,GS Fem pg,GS Male pg,GS Sex Unknown pg,GS data? Y/N,GS Female Mb,GS Male Mb
male heterogametic,9,11,0.2006707,,,2.77,N,,
male heterogametic,8,10,0.22314355,,,3.29,N,,
female heterogametic,3.08,3,-0.0263173,,,5.17,N,,
male heterogametic,2,2.2,0.09531018,,,,N,,
female heterogametic,4,6,0.40546511,,,1.4,N,,
male heterogametic,3.25,3.45,0.05971924,,,,N,,
male heterogametic,2.9,3.2,0.09844007,,,5.3,N,,
female heterogametic,2.52,1.89,-0.2876821,,,,N,,
,,,,,,8.15,N,,
female heterogametic,5.54,5.21,-0.0614146,,,,N,,
male heterogametic,2,3,0.40546511,,,,N,,
male heterogametic,71,76,0.06805346,,,,N,,
male heterogametic,103,103,0,,,,N,,
male heterogametic,641.2,682.5,0.06242111,3.05,2.61,,Y,2982.9,2552.58
male heterogametic,232.1,124.6,-0.6220597,,,,N,,
female heterogametic,6.59,6.48,-0.0168328,,,,N,,
female heterogametic,22.3,17.4,-0.2481165,,,,N,,
female heterogametic,20.3,22.3,0.09396579,,,,N,,
female heterogametic,23.5,24.3,0.03347593,,,,N,,
female heterogametic,7,7.8,0.10821359,,,,N,,
female heterogametic,11.5,14.9,0.25901418,,,,N,,
female heterogametic,12,11,-0.0870114,,,,N,,
female heterogametic,15.6,15.3,-0.0194181,,,,N,,
female heterogametic,5.6,6.94,0.21453518,,,,N,,
female heterogametic,1.7,2.3,0.30228087,,,,N,,
female heterogametic,13.8,12.5,v,,2,,Y,,1956
female heterogametic,6.56,5.24,-0.2246691,,,,N,,
female heterogametic,3.9,8.6,0.79078565,,,1.28,N,,
female heterogametic,16,11.25,-0.3522206,,,,N,,
female heterogametic,10,10,0,,,,N,,
female heterogametic,10.6,9.1,-0.1525796,,,,N,,
female heterogametic,5.3,13,0.89724254,,,,N,,
female heterogametic,12,15,0.22314355,,,,N,,
female heterogametic,3.81,2.53,-0.4094099,,,,N,,
female heterogametic,32.3,36.2,0.11399189,,,1.55,N,,
female heterogametic,11,11,0,,,1.3,N,,
female heterogametic,4.82,4.52,-0.0642619,1.55,1.58,1.56,Y,1515.9,1545.24
female heterogametic,13,11,-0.1670541,,,1.35,N,,
female heterogametic,2,3.5,0.55961579,,,,N,,
female heterogametic,9,10,0.10536052,,,,N,,
female heterogametic,2.95,4.3,0.37680985,,,,N,,
female heterogametic,8,9,0.11778304,,,,N,,
female heterogametic,6,10,0.51082562,,,,N,,
female heterogametic,9,9,0,,,,N,,
female heterogametic,6,10,0.51082562,,,,N,,
female heterogametic,32,37,0.14518201,,,,N,,
female heterogametic,3.08,4.3,0.33368543,,1.69,,Y,,1652.82
female heterogametic,2.67,2.75,0.02952244,,,,N,,
female heterogametic,12.2,7.1,-0.5413412,1.09,,,Y,1066.02,
female heterogametic,13,12,-0.0800427,,,4.6,N,,
female heterogametic,31.5,7.9,-1.3831248,,,4.6,N,,
male heterogametic,28.9,42.9,0.39503023,,,,N,,
male heterogametic,46.1,61.1,0.28169892,5.16,5.14,5.15,Y,5046.48,5026.92
male heterogametic,20,32.1,0.47312376,,,3.03,N,,
male heterogametic,29.7,43,0.37005307,,,,N,,
male heterogametic,43.7,89.6,0.71800722,3.41,3.41,3.1,Y,3332,3338
male heterogametic,9.6,41.9,1.47352273,,,2,N,,
male heterogametic,150,200,0.28768207,,,2,N,,
male heterogametic,16.8,32.4,0.65677954,,,,N,,
male heterogametic,150.3,152.2,0.01256215,,,,N,,
male heterogametic,287.1,288.9,0.00625002,,,,N,,
male heterogametic,106.2,88,-0.1879873,,,,N,,
male heterogametic,50,66,0.27763174,,,,N,,
male heterogametic,9.75,14.875,0.42241467,1.26,1.22,1.24,Y,1233,1202.4
male heterogametic,17.5,16.4,-0.0649195,,,,N,,
male heterogametic,37.4,37.7,0.00798939,,,1.02,N,,
male heterogametic,135,182,0.29873191,,,,N,,
male heterogametic,137.4,155.44,0.12336343,,,0.36,N,,
male heterogametic,71,64,-0.1037968,,,0.86,N,,
male heterogametic,17.75,19.75,0.10676798,,,,N,,
male heterogametic,612.8,525.7,-0.1533079,,,,N,,
male heterogametic,57,88,0.43428555,,,,N,,
male heterogametic,497,623,0.22595649,,,,N,,
male heterogametic,19,27,0.35139789,,,,N,,
male heterogametic,37,55,0.39641527,,,,N,,
male heterogametic,32,38,0.17185026,,,,N,,
male heterogametic,140.4,157.7,0.116199,,,,N,,
male heterogametic,68.5,70.7,0.03161183,,,0.52,N,,
male heterogametic,15.1,17.9,0.17010597,,,0.21,N,,
male heterogametic,13.6,18,0.28030197,,,0.25,N,,
male heterogametic,25.3,25.8,0.0195701,0.67,0.76,,Y,655.1,646.4
male heterogametic,28,32.1,0.13665152,0.45,0.45,0.45,Y,441.5,443.8
male heterogametic,23.69,31.91,0.29786642,0.68,0.7,,Y,665.4,567.9
male heterogametic,7,21,1.09861229,,0.25,0.24,Y,,244.5
male heterogametic,22,62,1.03609193,,0.25,0.24,Y,,244.5
male heterogametic,8.04,8.09,0.00619965,,,0.24,N,,
male heterogametic,51.2,38.9,-0.2747453,0.23,0.23,0.17,Y,224.94,224.94
male heterogametic,12.1,23.1,0.64662717,,,,N,,
male heterogametic,33.8,44.6,0.27727306,1.04,1,0.97,Y,1020.7,975
male heterogametic,6.6,10.68,0.48130318,0.54,0.54,0.54,Y,530,531
male heterogametic,12.4,10,-0.2151114,,,,N,,
male heterogametic,95,105,0.10008346,,,,N,,
male heterogametic,2.99,3.34,0.11069742,,,,N,,
male heterogametic,45,80,0.57536415,,,,N,,
male heterogametic,140,135,-0.0363676,,,,N,,
male heterogametic,74.1,98.2,0.28159068,,,,N,,
male heterogametic,24,32,0.28768207,,,,N,,
female heterogametic,14,10,-0.3364722,,,,N,,
female heterogametic,47.3,44.9,-0.0520725,,0.52,0.53,Y,,508.56
female heterogametic,8.5,4.5,-0.6359888,,,1.03,N,,
female heterogametic,8.06,12.74,0.45783309,,,,N,,
female heterogametic,14,25,0.5798185,,,,N,,
female heterogametic,87.5,85.7,-0.020786,,,,N,,
female heterogametic,11,9.9,-0.1053605,,,,N,,
female heterogametic,7.2,14.8,0.72054616,,,0.5,N,,
female heterogametic,5.6,5.7,0.01769958,,,,N,,
female heterogametic,19.1,21.6,0.12300498,,,,N,,
